Radiation solaire diffuse ,Radiation solaire globale ,Temperature ,Humidite,Vitesse du vent ,Date,Heure,Latitude,Longitude,Azimuth Angle,Solar Elevation
0,0,13.5,85,0.8,01/01/2024,00:00,35.2512,-3.9376,180.00000000000003,-77.7604367278692
0,0,14.0,81,0.4,01/01/2024,01:00,35.2512,-3.9376,230.85669266817177,-72.11185976356273
0,0,13.7,81,0.3,01/01/2024,02:00,35.2512,-3.9376,252.9855950939645,-61.231117692578636
0,0,13.6,81,0.5,01/01/2024,03:00,35.2512,-3.9376,265.04687254072553,-49.210742813863845
0,0,13.6,81,0.6,01/01/2024,04:00,35.2512,-3.9376,273.84820738315204,-36.97356281340086
0,0,13.5,70,1.0,01/01/2024,05:00,35.2512,-3.9376,281.5531885375704,-24.844917877665367
0,0,13.4,81,0.5,01/01/2024,06:00,35.2512,-3.9376,289.1283052790383,-13.039525634101793
1,1,13.5,67,1.5,01/01/2024,07:00,35.2512,-3.9376,297.19045259800157,-1.7811958823671858
48,48,14.1,66,0.9,01/01/2024,08:00,35.2512,-3.9376,306.2680434815162,8.638523472305678
115,115,14.8,64,3.6,01/01/2024,09:00,35.2512,-3.9376,316.8742254968784,17.810585799563015
170,174,15.5,77,2.3,01/01/2024,10:00,35.2512,-3.9376,329.4361214206952,25.171037135158116
221,232,16.2,60,1.9,01/01/2024,11:00,35.2512,-3.9376,344.028896251607,30.02723888886277
222,232,16.7,55,2.3,01/01/2024,12:00,35.2512,-3.9376,0.0,31.737163272130765
212,226,17.0,54,2.7,01/01/2024,13:00,35.2512,-3.9376,15.971103748392961,30.02723888886277
169,179,17.1,54,1.9,01/01/2024,14:00,35.2512,-3.9376,30.563878579304777,25.171037135158116
114,119,16.9,69,3.3,01/01/2024,15:00,35.2512,-3.9376,43.1257745031216,17.810585799563015
38,38,16.4,81,1.7,01/01/2024,16:00,35.2512,-3.9376,53.73195651848377,8.638523472305678
0,0,15.8,85,2.3,01/01/2024,17:00,35.2512,-3.9376,62.809547401998415,-1.7811958823671858
0,0,15.3,85,1.2,01/01/2024,18:00,35.2512,-3.9376,70.87169472096176,-13.039525634101793
0,0,15.0,81,1.2,01/01/2024,19:00,35.2512,-3.9376,78.44681146242961,-24.844917877665367
0,0,14.8,81,1.3,01/01/2024,20:00,35.2512,-3.9376,86.15179261684794,-36.97356281340086
0,0,14.4,81,0.5,01/01/2024,21:00,35.2512,-3.9376,94.95312745927446,-49.210742813863845
0,0,14.0,85,0.3,01/01/2024,22:00,35.2512,-3.9376,107.01440490603551,-61.231117692578636
0,0,13.6,85,0.2,01/01/2024,23:00,35.2512,-3.9376,129.14330733182823,-72.11185976356273
0,0,13.1,81,0.2,02/01/2024,00:00,35.2512,-3.9376,180.00000000000003,-77.67934360830768
0,0,12.4,85,1.3,02/01/2024,01:00,35.2512,-3.9376,230.67560196099254,-72.05293407714126
0,0,12.1,81,3.6,02/01/2024,02:00,35.2512,-3.9376,252.84283895753788,-61.18811513293289
0,0,11.9,81,2.7,02/01/2024,03:00,35.2512,-3.9376,264.9372338439867,-49.17276823252831
0,0,11.7,85,2.5,02/01/2024,04:00,35.2512,-3.9376,273.7583972526423,-36.935808232424606
0,0,11.6,85,1.3,02/01/2024,05:00,35.2512,-3.9376,281.47553373197513,-24.804808215596992
0,0,11.4,85,1.7,02/01/2024,06:00,35.2512,-3.9376,289.0585427528157,-12.995296593046689
1,1,11.4,85,0.4,02/01/2024,07:00,35.2512,-3.9376,297.12642591654077,-1.7313909727954098
79,119,12.8,85,0.9,02/01/2024,08:00,35.2512,-3.9376,306.2093601165564,8.695185227582613
83,282,14.5,81,1.0,02/01/2024,09:00,35.2512,-3.9376,316.8225468824687,17.875054026192544
132,407,16.0,60,1.7,02/01/2024,10:00,35.2512,-3.9376,329.39567319073774,25.24340281650221
237,316,16.5,54,1.0,02/01/2024,11:00,35.2512,-3.9376,344.0060124861561,30.105876483533905
233,399,17.2,51,2.7,02/01/2024,12:00,35.2512,-3.9376,0.0,31.818256391692366
